DateTime,AddedIPs,RemovedIPs
1527122100,6,8
1527133190,0,1
1527143824,4,3
1527154562,1,7
1527165427,1,3
1527175764,2,5
1527186692,3,5
1527197456,8,0
1527208088,2,1
1527217167,3,5
1527227892,1,6
1527238449,0,2
1527248592,2,6
1527259106,1,3
1527269752,6,5
1527280609,4,1
1527291886,3,0
1527302448,4,2
1527313416,2,0
1527324154,5,2
1527335051,8,6
1527346856,8,8
1527358349,2,7
1527369979,8,6
1527381342,0,6
1527392182,0,0
1527402805,5,4
1527412481,5,5
1527423636,2,6
1527434353,1,6
1527445460,2,7
1527456449,4,3
1527467427,6,5
1527477247,3,4
1527487914,4,2
1527498904,2,2
1527510026,2,5
1527520654,7,7
1527531310,4,3
1527542308,8,7
1527552887,2,4
1527563140,3,3
1527574075,3,0
1527585038,2,3
1527595904,9,6
1527606854,2,5
1527617779,5,1
1527628630,5,2
1527639259,3,1
1527650350,2,2
1527657361,2,2
1527668399,2,0
1527679077,5,6
1527690015,4,3
1527700604,0,2
1527711180,3,3
1527722019,3,3
1527732984,2,1
1527743925,3,4
1527754710,1,5
1527764501,0,3
1527775379,3,1
1527785030,2,3
1527795833,1,1
1527806833,5,3
1527817696,3,5
1527828147,1,3
1527837730,2,3
1527848587,4,5
1527859531,5,1
1527870110,5,10
1527881022,2,4
1527891959,5,2
1527902529,2,5
1527914775,3,3
1527926476,3,3
1527937655,5,4
1527949012,5,3
1527960485,0,0
1527971588,3,4
1527983434,0,5
1527992925,4,2
1528003949,1,4
1528014866,3,1
1528025269,2,2
1528035855,3,3
1528047972,8,4
1528058964,6,7
1528069857,3,3
1528078580,3,1
1528089487,0,1
1528100518,2,2
1528111327,2,3
1528122092,3,1
1528132772,0,3
1528143688,6,3
1528154352,2,5
1528165282,2,5
1528176181,0,4
1528184668,0,1
1528195683,2,4
1528206730,2,1
1528217409,2,4
1528228544,2,4
1528238771,6,2
1528249011,3,3
1528259783,3,1
1528270610,2,3
1528281367,3,1
1528292345,2,5
1528303161,6,1
1528318726,5,5
1528329235,3,4
1528340109,2,2
1528350971,2,0
1528361938,3,3
1528372984,3,1
1528383824,3,5
1528394689,2,1
1528403952,6,3
1528413551,2,0
1528424543,6,1
1528435581,1,2
1528446647,2,4
1528457684,1,3
1528469364,4,2
1528480308,6,1
1528491071,2,1
1528501192,2,2
1528512076,7,4
1528522887,3,1
1528533158,1,0
1528543879,2,1
1528554727,2,3
1528565577,4,2
1528576472,3,4
1528587326,2,1
1528598254,3,3
1528609433,2,3
1528620395,1,2
1528630970,3,3
1528640597,0,1
1528651228,1,5
1528662056,3,5
1528672731,4,2
1528683814,0,3
1528705810,0,4
1528716212,3,1
1528724212,1,6
1528735108,3,2
1528746359,4,8
1528756823,2,1
1528767100,1,6
1528777032,4,4
1528787606,0,1
1528797460,2,1
1528807915,3,3
1528818503,2,2
1528829146,5,6
1528839947,1,5
1528850321,1,4
1528861440,5,0
1528871334,4,1
1528881856,0,1
1528892419,1,2
1528903358,4,2
1528914294,2,4
1528925476,3,3
1528936417,2,1
1528946938,1,2
1528957868,2,2
1528968816,9,1
1528979752,3,4
1528990423,2,3
1529001198,3,6
1529011993,2,2
1529022462,5,4
1529033511,4,3
1529044319,9,5
1529055307,3,1
1529066407,4,3
1529077430,3,4
1529088298,7,7
1529099233,0,3
1529110112,2,4
1529120768,8,1
1529131650,1,0
1529142624,5,3
1529153605,4,5
1529164297,2,2
1529174414,5,2
1529185284,1,2
1529196173,2,2
1529207258,3,2
1529217512,6,2
1529227258,3,2
1529238326,2,2
1529248663,2,6
1529259427,4,2
1529270220,4,2
1529280544,4,2
1529290111,3,2
1529301023,2,1
