DateTime,AddedIPs,RemovedIPs
1529121614,1,0
1529125213,1,0
1529128813,0,2
1529139615,2,0
1529146816,8,0
1529150413,1,0
1529154017,1,0
1529164814,2,0
1529168416,0,1
1529179214,1,1
1529204414,0,1
1529208015,0,2
1529215216,0,2
1529218816,0,1
1529222414,1,0
1529229613,0,4
1529236813,0,6
1529240413,0,3
1529244013,0,1
1529247613,2,2
1529251213,0,2
1529254813,1,4
1529258412,0,5
1529262022,0,1
1529265619,0,1
1529298012,0,5
1529301613,0,1
1529305212,0,3
1529308812,0,2
1529312412,0,2
1529319612,0,2
1529334012,0,1
1529337614,0,1
1529344813,0,1
1529352013,1,2
1529359220,0,2
1529362811,0,1
1529366413,2,6
1529380811,1,0
1529384412,1,0
1529395211,0,1
1529398811,0,1
1529406011,0,7
1529416811,1,0
1529438410,0,2
1529452815,0,1
1529456411,0,1
1529481611,1,1
1529485212,9,0
1529488811,2,1
1529506812,0,1
1529532013,0,1
1529550012,0,6
1529553611,0,3
1529571611,0,1
1529593214,0,1
1529604012,1,0
1529607643,1,0
1529614813,1,0
1529622011,2,1
1529629212,1,0
1529632812,1,1
1529636413,1,0
1529647212,0,2
1529658012,1,0
1529661614,1,0
1529668812,0,1
1529676012,1,2
1529686811,1,0
1529690413,1,1
1529701212,1,1
1529704817,0,2
1529712018,0,8
1529719224,2,0
1529722811,1,1
1529726411,0,1
1529730015,0,1
1529740811,0,1
1529751611,0,9
1529755212,0,1
1529762412,0,1
1529769611,0,1
1529773211,0,1
1529784010,0,1
1529794812,1,0
1529802012,6,0
1529809210,0,1
1529816412,0,1
1529820010,1,0
1529830813,1,0
1529834412,1,0
1529838012,7,0
1529859615,0,2
1529866811,0,1
1529870412,0,2
1529874011,0,1
1529881211,2,0
1529884812,0,1
1529892010,0,1
1529910011,2,0
1529913612,0,1
1529924410,1,0
1529935212,2,0
1529946012,0,1
1529956811,0,2
1529967610,2,2
1529971212,3,1
1529974813,1,0
1529978413,2,2
1529985613,0,2
1529989213,4,3
1529992823,2,1
1529996413,1,1
1530007212,1,2
1530010813,3,0
1530014411,0,2
1530018011,1,0
1530021618,0,2
1530025212,1,0
1530028812,0,1
1530043212,1,0
1530046812,1,1
1530054013,1,0
1530057611,1,0
1530064811,1,0
1530068412,1,0
1530072011,1,0
1530075613,1,0
1530082814,2,0
1530086412,0,1
1530090011,0,6
1530108012,1,0
1530115211,1,0
1530122412,1,0
1530126012,2,0
1530129611,1,0
1530136816,2,1
1530144013,2,0
1530147614,6,0
1530151212,1,0
1530162014,2,0
1530169214,1,0
1530183612,8,0
1530208813,1,0
1530212411,0,1
1530216013,4,0
1530219614,0,1
1530226813,0,1
1530237613,1,1
1530241213,1,1
1530248413,2,0
1530266416,1,0
1530270013,1,1
1530273615,0,1
1530277213,1,0
1530280820,1,1
1530284413,1,0
1530288013,1,0
1530291615,0,1
1530295214,0,1
1530306013,1,0
1530324014,0,1
1530327614,0,1
1530331215,0,1
1530342013,1,0
1530345614,1,0
1530349214,0,1
1530352815,2,0
1530356415,0,2
1530374416,1,0
1530381614,1,0
1530385215,1,0
1530392415,1,0
1530403213,1,0
1530406814,1,4
1530424818,0,1
1530439213,0,1
1530442812,0,5
1530446414,0,1
1530468014,1,0
1530471613,1,0
1530493214,2,0
1530496813,3,0
1530504012,1,0
1530507613,5,0
1530511213,1,0
1530514813,1,1
1530518413,7,0
1530522013,5,0
1530525614,2,0
1530529215,0,1
1530532814,1,0
1530540015,0,1
1530554415,1,0
1530565214,1,0
1530568813,2,0
1530576014,0,5
1530579613,0,2
1530583214,0,1
1530586815,1,0
1530594015,0,8
1530597614,0,3
1530601215,3,1
1530612015,0,1
1530615615,9,0
1530619214,14,1
1530622815,1,0
1530633614,1,0
1530648015,1,1
1530655219,0,2
1530658816,0,1
1530666016,2,0
1530673215,1,1
1530680416,0,1
1530684016,1,0
1530687615,0,3
1530691217,1,0
1530698417,1,1
1530702015,7,0
1530705615,2,0
1530712816,1,0
1530727218,0,1
1530730816,0,2
1530734416,0,1
1530741615,0,1
1530748814,1,0
1530752416,8,5
1530756016,1,3
1530766816,1,1
1530770415,1,0
1530774015,0,1
1530781216,0,1
1530788415,0,8
1530799215,0,1
1530806414,1,0
1530813617,1,0
1530820821,0,2
1530824415,1,1
1530835214,1,1
1530838815,0,1
1530842416,1,1
1530864016,1,1
1530867612,2,0
1530871215,1,0
1530874816,0,1
1530878414,0,1
1530882015,0,1
1530885614,1,0
1530910815,1,0
1530918018,1,0
1530921615,3,1
1530925216,0,1
1530928815,0,1
1530946815,1,0
1530950417,2,0
1530957614,0,2
1530968415,0,1
1530979219,0,2
1530986416,1,0
1530990014,0,1
1530993618,1,0
1530997214,0,1
1531004417,0,1
1531008017,0,1
1531015216,7,0
1531026018,0,1
1531029616,0,1
1531047615,3,0
1531051216,1,0
1531058415,1,0
1531076429,1,1
1531083616,0,1
1531098015,0,2
1531101615,0,2
1531105216,1,0
1531108815,0,2
1531112416,0,5
1531116020,0,1
1531119617,0,1
1531123215,0,7
1531126815,5,5
1531130416,3,3
1531162815,1,0
1531166420,1,0
1531170015,1,0
1531173616,0,1
1531177213,0,1
1531180816,1,0
1531188016,1,0
1531195224,0,1
1531198821,1,0
1531202415,0,3
1531206016,0,2
1531213215,0,1
1531220414,0,8
1531224013,0,16
1531227614,0,1
1531231215,0,1
1531238414,0,2
1531242014,1,0
1531260013,1,0
1531270815,1,1
1531278013,1,0
1531292414,1,1
1531296014,0,1
1531299613,2,0
1531303213,0,1
1531306816,0,5
1531310413,0,3
1531317614,1,1
1531321215,1,0
1531328414,2,0
1531332013,2,1
1531339214,7,0
1531342813,2,0
1531346414,1,0
1531350015,0,1
1531353613,0,3
1531357215,0,1
1531360822,0,8
1531368013,1,0
1531371614,1,2
1531375219,0,2
1531382412,0,1
1531386013,1,1
1531389614,0,1
1531404013,5,0
1531407612,0,2
1531414814,2,0
1531422024,1,0
1531425613,1,0
1531429212,0,1
1531432815,0,1
1531436413,0,1
1531440014,0,1
1531443612,1,1
1531454414,0,1
1531458015,1,0
1531468813,1,1
1531472413,2,0
1531479614,1,1
1531483214,1,1
1531490413,0,1
1531504815,1,0
1531508413,2,1
1531515614,1,0
1531522814,0,3
1531526413,0,3
1531533620,0,1
1531540812,3,0
1531548014,1,0
1531551615,0,1
1531555227,0,2
1531558813,1,1
1531562414,1,1
1531580412,0,1
1531584014,1,0
1531587617,2,0
1531591214,1,1
1531594813,2,0
1531598412,0,1
1531602015,1,0
1531612812,1,1
1531616415,1,0
1531620012,0,8
1531630812,4,1
1531634414,1,0
1531638012,4,0
1531641616,13,1
1531645214,7,0
1531648818,6,0
1531652417,3,4
1531656022,1,1
1531659614,2,0
1531670416,4,0
1531674014,3,1
1531681215,6,1
1531688415,2,0
1531695616,1,0
1531699217,4,0
1531724416,1,0
1531728015,0,1
1531731615,3,5
1531735216,0,3
1531746015,1,0
1531756815,0,1
1531760415,1,0
1531764015,1,0
1531771215,1,0
1531774815,2,2
1531792814,0,1
1531803615,1,0
1531828814,1,0
1531836016,1,0
1531843214,0,1
1531846816,0,1
1531854016,1,0
1531857615,1,0
1531864814,0,1
1531868416,1,0
1531875615,2,0
1531882815,0,1
1531890022,1,0
1531897217,1,0
1531900815,8,0
1531904415,0,2
1531911616,7,0
1531915215,1,0
1531922417,0,1
1531926017,0,1
1531933215,0,1
1531944016,0,6
1531947616,0,1
1531951216,0,1
1531954816,0,1
1531965614,0,1
1531969217,0,1
1531976416,0,1
1531980015,0,1
1531990815,0,1
1532008816,0,3
1532019615,0,1
1532026817,0,1
1532030416,1,1
1532034020,1,1
1532037615,1,0
1532041216,1,0
1532048415,0,1
1532052015,1,0
1532055615,0,1
1532059213,1,0
1532062813,0,1
1532073616,2,1
1532077216,0,2
1532084417,2,1
1532088021,2,0
1532109617,2,1
1532113216,1,1
1532116814,4,0
1532120416,1,1
1532127616,2,0
1532152816,2,1
1532160016,0,2
1532163616,0,1
1532167217,0,1
1532174415,0,1
1532192417,1,1
1532196015,1,1
1532206817,3,0
1532210416,1,0
1532214018,6,0
1532217617,0,1
1532221216,0,1
1532242816,0,4
1532246417,0,10
1532250015,1,4
1532253615,0,7
1532257215,2,4
1532264414,0,3
1532275215,2,7
1532278814,0,4
1532282412,2,0
1532286020,0,4
1532289615,2,0
1532293214,0,1
1532296817,1,0
1532300416,0,1
1532304014,0,2
1532322013,0,2
1532325615,2,0
1532329214,1,2
1532336412,1,3
1532350814,0,1
1532365219,1,1
1532368815,0,1
1532372419,1,0
1532376013,0,1
1532379614,0,4
1532386814,0,3
1532397614,0,1
1532401213,1,0
1532412013,1,0
1532415613,1,0
1532430014,1,0
1532433614,1,2
1532437213,1,0
1532444414,0,1
1532451615,1,0
1532458813,0,2
1532462414,1,0
1532466013,0,1
1532469613,1,0
1532476814,1,0
1532480413,0,1
1532484017,6,1
1532494814,1,0
1532498413,0,1
1532505614,0,6
1532509214,1,0
1532512815,2,0
