DateTime,AddedIPs,RemovedIPs
1529964016,1,1
1529967614,3,2
1529971217,3,1
1529974815,1,0
1529978417,2,2
1529985618,0,2
1529989217,4,3
1529992822,2,1
1529996417,1,1
1530007216,1,2
1530010818,3,0
1530014415,0,2
1530018015,1,0
1530021619,1,2
1530025217,1,0
1530028816,0,2
1530039619,1,0
1530043215,1,0
1530046817,1,1
1530054016,1,0
1530057616,1,0
1530064815,1,0
1530068416,2,0
1530072016,1,0
1530075617,1,0
1530082816,2,0
1530086416,1,2
1530090015,0,7
1530104416,0,1
1530108016,1,0
1530115215,1,0
1530122416,1,0
1530126016,2,0
1530129615,1,1
1530133216,1,0
1530136817,2,1
1530140418,1,0
1530144016,2,0
1530147617,6,0
1530151217,1,0
1530158417,0,1
1530162017,3,1
1530169217,1,0
1530176416,0,3
1530180016,0,1
1530183616,8,0
1530194417,0,1
1530198018,1,1
1530201617,1,1
1530205220,1,2
1530208817,1,2
1530212415,0,2
1530216017,5,1
1530219616,0,2
1530223217,0,2
1530226816,1,1
1530237616,1,1
1530241223,1,1
1530248417,2,0
1530252017,0,1
1530259217,1,0
1530266416,1,0
1530270017,1,1
1530273616,0,1
1530277217,4,0
1530280819,2,1
1530284417,2,0
1530288017,1,1
1530295217,0,2
1530298816,0,1
1530302417,1,0
1530306017,1,1
1530324018,0,1
1530327617,0,1
1530331218,0,1
1530342017,1,0
1530345624,2,0
1530349216,0,1
1530352818,2,0
1530356416,0,2
1530374417,1,0
1530378017,1,1
1530381618,1,0
1530385219,1,0
1530392418,1,0
1530396018,0,1
1530403218,2,0
1530406818,1,4
1530417617,2,0
1530421218,1,0
1530424818,2,1
1530432018,2,0
1530435617,0,1
1530439218,0,1
1530442817,1,5
1530446418,1,1
1530453619,1,0
1530460819,1,0
1530464417,2,0
1530468018,2,0
1530471617,1,0
1530475218,0,1
1530478822,0,1
1530486044,2,0
1530493218,2,0
1530496817,4,0
1530500420,0,1
1530504017,1,0
1530507617,5,0
1530511218,1,0
1530514818,1,1
1530518417,7,0
1530522018,5,0
1530525619,2,0
1530529219,0,1
1530532818,1,0
1530536419,2,0
1530540019,0,1
1530543618,0,1
1530554419,1,0
1530565218,1,0
1530568818,2,1
1530572419,0,1
1530576018,0,5
1530579618,0,2
1530583218,0,1
1530586819,1,0
1530594018,0,8
1530597623,0,3
1530601218,3,1
1530612019,0,1
1530615619,10,0
1530619219,14,1
1530622820,1,0
1530626419,0,1
1530633618,1,0
1530648019,1,2
1530655220,0,2
1530658819,0,1
1530662419,0,1
1530666025,2,0
1530673219,1,1
1530680420,0,1
1530684020,1,0
1530687619,0,3
1530691220,2,1
1530698420,1,1
1530702020,7,0
1530705619,2,0
1530712827,1,0
1530716420,1,0
1530723621,0,1
1530727224,0,1
1530730821,0,2
1530734419,1,1
1530738030,22,1
1530741621,7,1
1530748820,1,0
1530752421,8,6
1530756022,1,3
1530766822,3,2
1530770421,2,1
1530774021,1,1
1530781221,5,4
1530788421,0,9
1530792023,2,1
1530795621,1,0
1530799223,0,2
1530806427,3,2
1530810020,0,2
1530813622,2,1
1530817220,0,2
1530820826,1,3
1530824424,1,2
1530831621,1,1
1530835220,2,2
1530838829,0,1
1530842421,1,1
1530864020,1,1
1530867619,2,0
1530871221,1,0
1530874822,1,1
1530878420,0,1
1530882021,0,1
1530885620,1,1
1530889221,0,2
1530903621,1,0
1530907220,0,1
1530910821,1,1
1530918023,1,1
1530921621,3,2
1530925222,0,1
1530928820,0,1
1530939623,0,1
1530946821,1,0
1530950419,2,0
1530957622,0,2
1530972020,0,2
1530979221,0,2
1530982820,1,0
1530986420,1,0
1530990019,0,1
1530993620,2,0
1530997223,0,1
1531004421,0,1
1531008020,0,2
1531015221,7,0
1531018819,1,0
1531022419,1,0
1531026022,2,1
1531029621,1,1
1531036821,0,3
1531040422,1,0
1531044021,1,2
1531047620,4,0
1531051220,2,1
1531054822,3,1
1531058421,1,0
1531069221,0,1
1531072820,1,2
1531076429,1,2
1531080021,0,1
1531083624,1,1
1531087221,1,0
1531090822,0,2
1531094423,1,1
1531098020,0,2
1531101620,0,2
1531105221,2,1
1531108821,0,2
1531112421,0,5
1531116024,0,1
1531119622,1,1
1531123219,0,7
1531126820,5,5
1531130422,3,3
1531137619,0,1
1531148421,0,1
1531162820,1,0
1531166420,1,0
1531170020,1,0
1531173621,0,1
1531177220,1,1
1531180821,1,0
1531188021,1,0
1531195224,0,1
1531198823,1,1
1531202421,0,3
1531206022,0,2
1531213220,0,1
1531220419,0,9
1531224018,0,16
1531227619,0,1
1531231220,0,1
1531238419,0,3
1531242019,1,0
1531260018,1,0
1531270820,1,1
1531278022,1,0
1531292419,1,1
1531296019,0,1
1531299619,2,0
1531303220,0,1
1531306818,0,5
1531310418,0,3
1531314018,1,0
1531317618,1,1
1531321220,2,0
1531328419,2,0
1531332020,2,1
1531335618,1,0
1531339220,7,1
1531342817,2,22
1531346418,2,7
1531350017,0,1
1531353617,0,3
1531357219,0,1
1531360823,1,8
1531368016,2,0
1531371618,2,2
1531375216,1,2
1531378818,2,1
1531382416,0,2
1531386017,2,1
1531389618,0,1
1531393217,1,0
1531396816,1,0
1531400417,1,2
1531404019,7,2
1531407618,0,4
1531411215,0,3
1531414816,2,0
1531418417,3,2
1531422024,2,0
1531425618,1,1
1531429219,0,2
1531432818,0,1
1531436416,0,2
1531440017,0,2
1531443617,2,1
1531454418,0,1
1531458019,1,0
1531468817,1,1
1531472416,2,0
1531479618,1,1
1531483218,1,1
1531486817,0,1
1531490417,0,1
1531501234,0,1
1531504818,1,0
1531508418,2,2
1531515617,1,0
1531522818,0,3
1531526417,0,3
1531533623,0,1
1531540817,3,0
1531548017,1,0
1531551616,0,1
1531555227,0,2
1531558817,1,1
1531562417,1,1
1531566019,1,0
1531580416,1,1
1531587617,2,0
1531591219,0,1
1531594817,1,0
1531598416,0,2
1531602018,1,0
1531605617,0,1
1531612815,1,1
1531620016,0,8
1531623616,1,0
1531630816,4,1
1531634418,1,0
1531638016,4,0
1531641621,13,1
1531645218,6,0
1531648821,6,0
1531652419,3,6
1531656025,1,2
1531659617,2,3
1531670419,4,1
1531674018,3,1
1531677618,0,4
1531681217,6,2
1531688418,2,1
1531692018,0,2
1531695619,3,0
1531699218,7,2
1531702818,1,0
1531706421,1,0
1531710019,0,1
1531713619,1,0
1531720822,1,0
1531724419,2,0
1531728018,4,1
1531731620,3,5
1531735219,0,3
1531746018,1,0
1531756818,0,1
1531760419,2,0
1531764019,1,0
1531771219,1,0
1531774818,2,2
1531785619,0,1
1531792818,0,1
1531803618,1,0
1531828817,1,0
1531836019,1,0
1531843217,0,1
1531846819,0,1
1531854018,1,0
1531857619,1,0
1531864818,0,1
1531868419,1,0
1531875618,2,0
1531882819,0,1
1531890022,1,0
1531893618,1,0
1531897218,1,0
1531900823,8,0
1531904419,0,2
1531911619,7,0
